x,f(x),f'(x)
-5,0.00669285,0.00664809
-4.99,0.00675966,0.006714
-4.98,0.00682713,0.00678056
-4.97,0.00689527,0.00684776
-4.96,0.00696409,0.00691562
-4.95,0.00703359,0.00698415
-4.94,0.00710377,0.00705334
-4.93,0.00717466,0.00712322
-4.92,0.00724624,0.00719377
-4.91,0.00731853,0.00726501
-4.9,0.00739154,0.00733694
-4.89,0.00746527,0.00740958
-4.88,0.00753973,0.00748292
-4.87,0.00761493,0.00755698
-4.86,0.00769088,0.00763176
-4.85,0.00776757,0.00770727
-4.84,0.00784502,0.00778352
-4.83,0.00792324,0.0078605
-4.82,0.00800223,0.00793824
-4.81,0.00808201,0.00801673
-4.8,0.00816257,0.00809598
-4.79,0.00824393,0.00817601
-4.78,0.00832609,0.00825681
-4.77,0.00840907,0.0083384
-4.76,0.00849286,0.00842078
-4.75,0.00857749,0.00850395
-4.74,0.00866294,0.00858794
-4.73,0.00874925,0.00867274
-4.72,0.0088364,0.00875836
-4.71,0.00892442,0.00884481
-4.7,0.0090133,0.0089321
-4.69,0.00910306,0.00902024
-4.68,0.00919371,0.00910923
-4.67,0.00928525,0.00919908
-4.66,0.00937769,0.00928979
-4.65,0.00947104,0.00938139
-4.64,0.00956532,0.00947387
-4.63,0.00966052,0.00956724
-4.62,0.00975667,0.00966152
-4.61,0.00985376,0.00975671
-4.6,0.0099518,0.00985281
-4.59,0.0100508,0.00994984
-4.58,0.0101508,0.0100478
-4.57,0.0102518,0.0101467
-4.56,0.0103537,0.0102466
-4.55,0.0104567,0.0103474
-4.54,0.0105607,0.0104492
-4.53,0.0106657,0.010552
-4.52,0.0107717,0.0106558
-4.51,0.0108788,0.0107605
-4.5,0.0109869,0.0108663
-4.49,0.0110961,0.0109731
-4.48,0.0112064,0.0110809
-4.47,0.0113178,0.0111897
-4.46,0.0114302,0.0112996
-4.45,0.0115438,0.0114105
-4.44,0.0116584,0.0115226
-4.43,0.0117742,0.0116356
-4.42,0.0118911,0.0117498
-4.41,0.0120092,0.011865
-4.4,0.0121284,0.0119814
-4.39,0.0122488,0.0120989
-4.38,0.0123704,0.0122174
-4.37,0.0124932,0.0123372
-4.36,0.0126172,0.012458
-4.35,0.0127423,0.01258
-4.34,0.0128688,0.0127032
-4.33,0.0129964,0.0128276
-4.32,0.0131253,0.0129531
-4.31,0.0132555,0.0130798
-4.3,0.0133869,0.0132078
-4.29,0.0135196,0.0133369
-4.28,0.0136537,0.0134673
-4.27,0.013789,0.0135989
-4.26,0.0139256,0.0137318
-4.25,0.0140636,0.0138659
-4.24,0.014203,0.0140013
-4.23,0.0143437,0.014138
-4.22,0.0144857,0.014276
-4.21,0.0146292,0.0144152
-4.2,0.014774,0.0145558
-4.19,0.0149203,0.0146978
-4.18,0.015068,0.014841
-4.17,0.0152171,0.0149856
-4.16,0.0153677,0.0151316
-4.15,0.0155198,0.015279
-4.14,0.0156733,0.0154277
-4.13,0.0158283,0.0155779
-4.12,0.0159848,0.0157294
-4.11,0.0161429,0.0158824
-4.1,0.0163025,0.0160368
-4.09,0.0164636,0.0161927
-4.08,0.0166264,0.01635
-4.07,0.0167906,0.0165088
-4.06,0.0169565,0.0166691
-4.05,0.017124,0.0168309
-4.04,0.0172932,0.0169942
-4.03,0.0174639,0.017159
-4.02,0.0176363,0.0173254
-4.01,0.0178104,0.0174933
-4,0.0179862,0.0176628
-3.99,0.0181637,0.0178339
-3.98,0.0183429,0.0180065
-3.97,0.0185238,0.0181808
-3.96,0.0187065,0.0183567
-3.95,0.018891,0.0185342
-3.94,0.0190772,0.0187133
-3.93,0.0192652,0.0188942
-3.92,0.0194551,0.0190767
-3.91,0.0196468,0.0192609
-3.9,0.0198403,0.0194468
-3.89,0.0200357,0.0196344
-3.88,0.020233,0.0198237
-3.87,0.0204322,0.0200148
-3.86,0.0206333,0.0202077
-3.85,0.0208363,0.0204023
-3.84,0.0210413,0.0205987
-3.83,0.0212483,0.0207969
-3.82,0.0214573,0.020997
-3.81,0.0216683,0.0211989
-3.8,0.0218813,0.0214026
-3.79,0.0220963,0.0216082
-3.78,0.0223134,0.0218157
-3.77,0.0225326,0.022025
-3.76,0.0227539,0.0222363
-3.75,0.0229774,0.0224495
-3.74,0.0232029,0.0226647
-3.73,0.0234307,0.0228818
-3.72,0.0236606,0.0231009
-3.71,0.0238927,0.0233219
-3.7,0.024127,0.023545
-3.69,0.0243636,0.0237701
-3.68,0.0246024,0.0239973
-3.67,0.0248435,0.0242265
-3.66,0.025087,0.0244577
-3.65,0.0253327,0.0246911
-3.64,0.0255808,0.0249265
-3.63,0.0258312,0.0251641
-3.62,0.0260841,0.0254038
-3.61,0.0263393,0.0256457
-3.6,0.026597,0.0258897
-3.59,0.0268571,0.0261359
-3.58,0.0271197,0.0263844
-3.57,0.0273848,0.026635
-3.56,0.0276524,0.0268879
-3.55,0.0279226,0.027143
-3.54,0.0281953,0.0274004
-3.53,0.0284706,0.0276601
-3.52,0.0287485,0.0279222
-3.51,0.029029,0.0281865
-3.5,0.0293122,0.0284532
-3.49,0.0295981,0.0287222
-3.48,0.0298867,0.0289936
-3.47,0.030178,0.0292674
-3.46,0.030472,0.0295436
-3.45,0.0307689,0.0298223
-3.44,0.0310685,0.0301034
-3.43,0.0313709,0.0303869
-3.42,0.0316762,0.030673
-3.41,0.0319844,0.0309615
-3.4,0.0322955,0.0312526
-3.39,0.0326095,0.0315462
-3.38,0.0329264,0.0318424
-3.37,0.0332463,0.0321411
-3.36,0.0335692,0.0324425
-3.35,0.0338952,0.0327464
-3.34,0.0342242,0.033053
-3.33,0.0345562,0.0333623
-3.32,0.0348914,0.0336742
-3.31,0.0352297,0.0339887
-3.3,0.0355712,0.034306
-3.29,0.0359158,0.0346261
-3.28,0.0362637,0.0349488
-3.27,0.0366148,0.0352743
-3.26,0.0369692,0.0356027
-3.25,0.0373269,0.0359338
-3.24,0.0376879,0.0362677
-3.23,0.0380522,0.0366044
-3.22,0.03842,0.0369441
-3.21,0.0387911,0.0372866
-3.2,0.0391657,0.0376319
-3.19,0.0395438,0.0379802
-3.18,0.0399253,0.0383315
-3.17,0.0403104,0.0386857
-3.16,0.0406991,0.0390428
-3.15,0.0410913,0.039403
-3.14,0.0414871,0.0397661
-3.13,0.0418866,0.0401323
-3.12,0.0422898,0.0405015
-3.11,0.0426966,0.0408738
-3.1,0.0431073,0.0412492
-3.09,0.0435216,0.0416277
-3.08,0.0439398,0.0420093
-3.07,0.0443618,0.042394
-3.06,0.0447877,0.042782
-3.05,0.0452175,0.043173
-3.04,0.0456512,0.0435673
-3.03,0.0460888,0.0439648
-3.02,0.0465305,0.0443656
-3.01,0.0469761,0.0447696
-3,0.0474259,0.0451769
-2.99,0.0478797,0.0455874
-2.98,0.0483376,0.0460013
-2.97,0.0487997,0.0464185
-2.96,0.049266,0.0468391
-2.95,0.0497365,0.047263
-2.94,0.0502113,0.0476903
-2.93,0.0506903,0.048121
-2.92,0.0511737,0.0485552
-2.91,0.0516614,0.0489928
-2.9,0.0521536,0.0494338
-2.89,0.0526501,0.0498783
-2.88,0.0531511,0.0503263
-2.87,0.0536567,0.0507778
-2.86,0.0541667,0.0512329
-2.85,0.0546813,0.0516915
-2.84,0.0552005,0.0521537
-2.83,0.0557244,0.0526194
-2.82,0.0562529,0.0530888
-2.81,0.0567862,0.0535617
-2.8,0.0573242,0.0540384
-2.79,0.057867,0.0545186
-2.78,0.0584146,0.0550025
-2.77,0.058967,0.0554901
-2.76,0.0595244,0.0559815
-2.75,0.0600867,0.0564765
-2.74,0.0606539,0.0569753
-2.73,0.0612262,0.0574778
-2.72,0.0618035,0.0579841
-2.71,0.0623859,0.0584941
-2.7,0.0629734,0.059008
-2.69,0.063566,0.0595256
